player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
ISMCTS,0,1,-7,-7,1,0,0,False
DQN,0,1,14,14,4,1,0,False
Random3,0,1,5,5,3,0,0,False
Random4,0,1,4,5,2,0,0,False
ISMCTS,0,2,-17,-10,1,0,0,False
DQN,0,2,18,4,2,1,0,False
Random3,0,2,9,4,2,0,0,False
Random4,0,2,22,4,4,0,0,False
ISMCTS,0,3,-8,9,4,1,0,False
DQN,0,3,21,3,2,1,0,False
Random3,0,3,9,0,1,0,0,False
Random4,0,3,26,0,3,0,0,False
ISMCTS,0,4,7,15,4,2,0,False
DQN,0,4,24,3,2,1,0,False
Random3,0,4,3,-6,1,0,0,False
Random4,0,4,30,-6,3,0,0,False
ISMCTS,0,5,12,5,3,2,0,False
DQN,0,5,27,3,2,1,0,False
Random3,0,5,-7,-10,1,0,0,False
Random4,0,5,48,-10,4,0,0,False
ISMCTS,0,6,14,2,2,2,0,False
DQN,0,6,21,-6,1,1,0,False
Random3,0,6,7,14,4,0,0,False
Random4,0,6,54,14,3,0,0,False
ISMCTS,0,7,4,-10,1,2,0,False
DQN,0,7,30,9,3,1,0,False
Random3,0,7,20,13,4,0,0,False
Random4,0,7,58,13,2,0,0,False
ISMCTS,0,8,4,0,2,2,0,False
DQN,0,8,30,0,2,1,0,False
Random3,0,8,18,-2,1,0,0,False
Random4,0,8,76,-2,4,0,0,False
ISMCTS,0,9,6,2,3,2,0,False
DQN,0,9,30,0,2,1,0,False
Random3,0,9,41,23,4,0,0,False
Random4,0,9,67,23,1,0,0,False
ISMCTS,0,10,11,5,3,2,0,False
DQN,0,10,45,15,4,2,0,False
Random3,0,10,37,-4,1,0,0,False
Random4,0,10,67,-4,2,0,0,False
ISMCTS,0,11,18,7,4,3,0,False
DQN,0,11,46,1,1,2,0,False
Random3,0,11,41,4,2,0,0,False
Random4,0,11,71,4,2,0,0,False
ISMCTS,0,12,31,13,4,4,0,False
DQN,0,12,41,-5,1,2,0,False
Random3,0,12,48,7,3,0,0,False
Random4,0,12,72,7,2,0,0,False
ISMCTS,0,13,32,1,2,4,0,False
DQN,0,13,57,16,4,3,0,False
Random3,0,13,54,6,3,0,0,False
Random4,0,13,65,6,1,0,0,False
ISMCTS,0,14,43,11,4,5,0,False
DQN,0,14,62,5,3,3,0,False
Random3,0,14,54,0,1,0,0,False
Random4,0,14,65,0,1,0,0,False
ISMCTS,0,15,33,-10,1,5,0,False
DQN,0,15,76,14,4,4,0,False
Random3,0,15,55,1,2,0,0,False
Random4,0,15,76,1,3,0,0,False
ISMCTS,0,16,37,4,2,5,0,False
DQN,0,16,93,17,4,5,0,False
Random3,0,16,60,5,3,0,0,False
Random4,0,16,66,5,1,0,0,False
ISMCTS,0,17,37,0,2,5,0,False
DQN,0,17,84,-9,1,5,0,False
Random3,0,17,78,18,4,0,0,False
Random4,0,17,73,18,3,0,0,False
ISMCTS,0,18,56,19,4,6,0,False
DQN,0,18,75,-9,1,5,0,False
Random3,0,18,83,5,3,0,0,False
Random4,0,18,74,5,2,0,0,False
ISMCTS,0,19,59,3,2,6,0,False
DQN,0,19,70,-5,1,5,0,False
Random3,0,19,87,4,3,0,0,False
Random4,0,19,88,4,4,0,0,False
ISMCTS,0,20,59,0,1,6,0,False
