player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
DQN,0,1,10,10,0,0,0,False
Random2,0,1,2,2,2,0,0,False
Random3,0,1,3,3,1,0,0,False
Random4,0,1,1,3,3,0,0,False
DQN,0,2,18,8,0,0,0,False
Random2,0,2,2,0,3,1,0,False
Random3,0,2,7,4,1,1,0,False
Random4,0,2,5,4,1,1,0,False
DQN,0,3,28,10,0,0,0,False
Random2,0,3,5,3,1,2,0,False
Random3,0,3,8,1,3,2,0,False
Random4,0,3,7,1,2,2,0,False
DQN,0,4,36,8,0,0,0,False
Random2,0,4,6,1,2,2,0,False
Random3,0,4,14,6,1,2,0,False
Random4,0,4,8,6,2,2,0,False
DQN,0,5,53,17,0,0,0,False
Random2,0,5,6,0,1,2,0,False
Random3,0,5,13,-1,3,2,0,False
Random4,0,5,8,-1,1,2,0,False
DQN,0,6,62,9,1,0,0,False
Random2,0,6,6,0,2,2,0,False
Random3,0,6,3,-10,3,2,0,False
Random4,0,6,25,-10,0,2,0,False
DQN,0,7,67,5,1,0,0,False
Random2,0,7,0,-6,3,2,0,False
Random3,0,7,16,13,0,2,0,False
Random4,0,7,29,13,2,2,0,False
DQN,0,8,72,5,1,0,0,False
Random2,0,8,0,0,2,2,0,False
Random3,0,8,8,-8,3,2,0,False
Random4,0,8,48,-8,0,2,0,False
DQN,0,9,77,5,1,0,0,False
Random2,0,9,-4,-4,3,2,0,False
Random3,0,9,21,13,0,2,0,False
Random4,0,9,50,13,2,2,0,False
DQN,0,10,80,3,2,0,0,False
Random2,0,10,9,13,0,2,0,False
Random3,0,10,12,-9,3,2,0,False
Random4,0,10,59,-9,1,2,0,False
DQN,0,11,81,1,1,0,0,False
Random2,0,11,10,1,1,2,0,False
Random3,0,11,11,-1,3,2,0,False
Random4,0,11,74,-1,0,2,0,False
DQN,0,12,82,1,2,0,0,False
Random2,0,12,1,-9,3,2,0,False
Random3,0,12,17,6,1,2,0,False
Random4,0,12,92,6,0,2,0,False
DQN,0,13,88,6,0,0,0,False
Random2,0,13,6,5,1,2,0,False
Random3,0,13,22,5,1,2,0,False
Random4,0,13,92,5,3,2,0,False
DQN,0,14,93,5,1,0,0,False
Random2,0,14,19,13,0,2,0,False
Random3,0,14,16,-6,3,2,0,False
Random4,0,14,96,-6,2,2,0,False
DQN,0,14,88,-5,3,1,0,True
Random2,0,14,21,2,2,2,0,True
Random3,0,14,29,13,0,2,1,True
Random4,0,14,102,13,1,2,0,True
