player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random1,0,1,1,1,1,0,0,False
Random2,0,1,13,13,4,0,0,False
Random3,0,1,1,1,1,0,0,False
Random4,0,1,1,1,1,0,0,False
Random1,0,2,1,0,2,0,0,False
Random2,0,2,6,-7,1,0,0,False
Random3,0,2,8,7,3,0,0,False
Random4,0,2,17,7,4,0,0,False
Random1,0,3,1,0,1,0,0,False
Random2,0,3,10,4,2,0,0,False
Random3,0,3,12,4,2,0,0,False
Random4,0,3,25,4,4,0,0,False
Random1,0,4,14,13,4,0,0,False
Random2,0,4,12,2,3,0,0,False
Random3,0,4,13,1,2,0,0,False
Random4,0,4,25,1,1,0,0,False
Random1,0,5,14,0,2,0,0,False
Random2,0,5,16,4,3,0,0,False
Random3,0,5,5,-8,1,0,0,False
Random4,0,5,45,-8,4,0,0,False
Random1,0,6,16,2,2,0,0,False
Random2,0,6,29,13,4,0,0,False
Random3,0,6,1,-4,1,0,0,False
Random4,0,6,50,-4,3,0,0,False
Random1,0,7,21,5,3,0,0,False
Random2,0,7,32,3,2,0,0,False
Random3,0,7,3,2,1,0,0,False
Random4,0,7,56,2,4,0,0,False
Random1,0,8,12,-9,1,0,0,False
Random2,0,8,32,0,2,0,0,False
Random3,0,8,20,17,4,0,0,False
Random4,0,8,64,17,3,0,0,False
Random1,0,9,17,5,3,0,0,False
Random2,0,9,32,0,1,0,0,False
Random3,0,9,28,8,4,0,0,False
Random4,0,9,67,8,2,0,0,False
Random1,0,10,21,4,2,0,0,False
Random2,0,10,26,-6,1,0,0,False
Random3,0,10,33,5,3,0,0,False
Random4,0,10,80,5,4,0,0,False
Random1,0,11,21,0,2,0,0,False
Random2,0,11,24,-2,1,0,0,False
Random3,0,11,50,17,4,0,0,False
Random4,0,11,81,17,3,0,0,False
Random1,0,12,43,22,4,0,0,False
Random2,0,12,24,0,2,0,0,False
Random3,0,12,54,4,3,0,0,False
Random4,0,12,71,4,1,0,0,False
Random1,0,13,36,-7,1,0,0,False
Random2,0,13,25,1,2,0,0,False
Random3,0,13,57,3,3,0,0,False
Random4,0,13,90,3,4,0,0,False
Random1,0,14,36,0,1,0,0,False
Random2,0,14,37,12,4,0,0,False
Random3,0,14,58,1,2,0,0,False
Random4,0,14,93,1,3,0,0,False
Random1,0,14,49,13,4,0,0,True
Random2,0,14,28,-9,1,0,1,True
Random3,0,14,63,5,2,0,0,True
Random4,0,14,100,5,3,0,0,True
Random1,1,1,8,8,4,0,0,False
Random2,1,1,1,1,1,0,1,False
Random3,1,1,4,4,3,0,0,False
Random4,1,1,3,4,2,0,0,False
Random1,1,2,12,4,3,0,0,False
Random2,1,2,1,0,1,0,1,False
Random3,1,2,16,12,4,0,0,False
Random4,1,2,3,12,1,0,0,False
Random1,1,3,2,-10,1,0,0,False
Random2,1,3,18,17,4,0,1,False
Random3,1,3,20,4,2,0,0,False
Random4,1,3,8,4,3,0,0,False
Random1,1,4,6,4,2,0,0,False
Random2,1,4,22,4,2,0,1,False
Random3,1,4,34,14,4,0,0,False
Random4,1,4,2,14,1,0,0,False
Random1,1,5,-2,-8,1,0,0,False
Random2,1,5,36,14,4,0,1,False
Random3,1,5,38,4,2,0,0,False
Random4,1,5,8,4,3,0,0,False
Random1,1,6,-12,-10,1,0,0,False
Random2,1,6,55,19,4,0,1,False
Random3,1,6,38,0,2,0,0,False
Random4,1,6,15,0,3,0,0,False
Random1,1,7,-10,2,3,0,0,False
Random2,1,7,68,13,4,0,1,False
Random3,1,7,38,0,1,0,0,False
Random4,1,7,16,0,2,0,0,False
Random1,1,8,-5,5,2,0,0,False
